stripped,original
darger estate for excerpts from henry darger's unpublished novel. excerpts from deep springs alumni newsletter,the Darger estate for the excerpts from Henry Darger's unpublished novel. Excerpts from the Deep Springs Alumni Newsletter
jerome foundation,the Jerome Foundation
first bank system foundation,the First Bank System Foundation
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
national endowment for arts,the National Endow- ment for the Arts
minnesota nonprofits assistance fund,the Minnesota Non-Profits Assistance Fund
minneapolis foundation,the Minneapolis Foundation
montana arts council,Montana Arts Council First Book Award
montana arts council,the Montana Arts Council
national endowment for arts,the National Endow- ment for the Arts
jerome foundation,the Jerome Foundation.
dayton hudson foundation,Dayton Hudson Foundation
jerome foundation,Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
national endowment for arts,the National Endowment for the Arts
metropolitan council from funds appropriated to minnesota state arts board,the Metropolitan Council from funds appropriated to the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
minnesota voices project books are distributed by,The Minnesota Voices Project books are distributed by
jerome foundation,the Jerome Foundation
"dayton hudson foundation (with funds provided by b. dalton, bookseller)","the Dayton Hudson Foundation (with funds provided by B. Dalton, Bookseller"
first bank system foundation,The First Bank System Foundation
united arts fund,the United Arts Fund
mcknight foundation,the McKnight Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota State Legislature
dayton hudson foundation,Dayton Hudson Foundation
jerome foundation,Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
national endowment for arts,the National Endowment for the Arts
metropolitan council from funds appropriated to minnesota state arts board,the Metropolitan Council from funds appropriated to the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
minnesota voices project books are distributed by bookslinger small press distribution,The Minnesota Voices Project books are distributed by Bookslinger Small Press Distribution
northwest area foundation,the North- west Area Foundation
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,the Min- nesota State Arts Board
mcknight foundation,McKnight Foun- dation
minnesota state arts board,the Minnesota State Arts Board
united arts,United Arts
national endowment for arts,the National Endowment for the Arts
washington state arts commission,the Washington State Arts Commission
migration of powers,The Migration of Powers
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,the Minnesota State Arts Board
united arts,United Arts
jerome foundation,the Jerome Foundation
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,the South Dakota Arts Council
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
beim foundation,the Beim Foundation
general mills foundation,the General Mills Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
"dayton's, mervyn's, and target stores through dayton hudson foundation","Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"
bush foundation,the Bush Foundation
andrew w. mellon foundation,the Andrew W. Mellon Foundation
mcknight foundation,the McKnight Foundation
general mills foundation,the General Mills Foundation
st. paul companies,the St. Paul Companies
northwest area foundation,the North- west Area Foundation
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,the Min- nesota State Arts Board
mcknight foundation,McKnight Foun- dation
minnesota state arts board,the Minnesota State Arts Board
united arts,United Arts
butterfly migration,the Butterfly Migration
toro foundation,The Toro Foundation
bush foundation,Bush Foundation
cargill foundation,Cargill Foundation
del corazón family fund,Del Corazón Family Fund
dougherty family foundation,Dougherty Family Foundation
ecolab foundation,Ecolab Foundation
joe b. foster family foundation,Joe B. Foster Family Foundation
general mills foundation,General Mills Foundation
jerome foundation,Jerome Foundation
kathleen jones,Kathleen Jones
constance b. kunin,Constance B. Kunin
d. k. light,D. K. Light
chris and ann malecek,Chris and Ann Malecek
mcknight foundation,McKnight Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
wells fargo foundation minnesota,the Wells Fargo Foundation Minnesota
national endowment for arts,the National Endowment for the Arts
sheila c. morgan,Sheila C. Morgan
laura jane musser fund,Laura Jane Musser Fund
national endowment for arts,National Endowment for the Arts
navarre corporation,Navarre Corporation
kate and stuart nielsen,Kate and Stuart Nielsen
outagamie charitable foundation,Outagamie Charitable Foundation
qwest foundation,Quest Foundation
"debbie reynolds; st. paul companies, inc.","Debbie Reynolds; St. Paul Companies, Inc."
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
wells fargo foundation minnesota,the Wells Fargo Foundation Minnesota
national endowment for arts,the National Endowment for the Arts
bush foundation,the Bush Foundation
target,Target
mcknight foundation,the McKnight Foundation
national endowment for arts minnesota state arts board,NATIONAL ENDOWMENT FOR THE ARTS MINNESOTA STATE ARTS BOARD
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
wells fargo foundation minnesota,the Wells Fargo Foundation Minnesota
