stripped,original
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-
  Reader's Digest Literary Publishers Marketing Development Program"
council of literary magazines and presses,the Council of Literary Magazines and Presses;
james ford bell foundation,"James Ford Bell
  Foundation"
bush foundation,Bush Foundation
general mills foundation,General Mills Foundation
honeywell foundation,"Honeywell
  Foundation"
jerome foundation,Jerome Foundation
mcknight foundation,McKnight Foundation
minnesota state arts board,"Minnesota State
  Arts"
minnesota state legislature,the Minnesota State Legislature
norwest foundation,Norwest Foundation
oswald family foundation,Oswald Family Foundation
ritz foundation,Ritz Foundation
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"St. Paul Companies, Inc."
target foundation,Target Foundation
target,Target
u.s. bancorp piper jaffray foundation,U.S. Bancorp Piper Jaffray Foundation
bush foundation,Bush Foundation
cargill value investment,Cargill Value Investment
del corazón family fund,Del Corazón Family Fund
dougherty family foundation,"Dougherty
  Family Foundation"
ecolab foundation,Ecolab Foundation
joe b. foster family foundation,Joe B. Foster Family Foundation
general mills foundation,"General
  Mills Foundation"
jerome foundation,Jerome Foundation
kathleen jones,Kathleen Jones
constance b. kunin,Constance B. Kunin
d. k. light,"D. K.
  Light"
chris and ann malecek,Chris and Ann Malecek
mcknight foundation,McKnight Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
sheila c. morgan,Sheila C. Morgan
laura jane musser fund,Laura Jane Musser Fund
national endowment for arts,the National Endowment for the Arts
navarre corporation,Navarre Corporation
kate and stuart nielsen,"Kate and Stuart
  Nielsen"
outagamie charitable foundation,Outagamie Charitable Foundation
qwest foundation,Qwest Foundation
debbie reynolds; st. paul travelers foundation,"Debbie Reynolds;
  St. Paul Travelers Foundation"
surdna foundation,Surdna Foundation
target,Target
gertrude sexton thompson charitable trust (george r. a. johnson),"Gertrude Sexton Thompson Charitable Trust (George R. A. Johnson,"
james r. thorpe foundation,James R. Thorpe Foundation
toro foundation,Toro Foundation
weyerhaeuser family foundation,"Weyerhaeuser Family
  Foundation"
xcel energy foundation,Xcel Energy Foundation
katahdin / eric pinder,Katahdin / Eric Pinder
ojibway sacred scrolls used throughout this volume are from george a. flaskerd,"The Ojibway Sacred Scrolls used throughout this volume are from the George A.
  Flaskerd"
minnesota state legislature,the Minnesota State Legislature
mcknight foundation,the McKnight Foundation
first bank system foundation,"The First Bank System Founda-
  tion"
national endowment for arts,the National Endowment for the Arts
national endowment for arts,"the
  National Endowment for the Arts"
first bank system foundation,the First Bank System Foundation
arts development fund of united arts council,the Arts Development Fund
united arts council,the United Arts Council
minneapolis foundation,the Minneapolis Foundation
iowa arts council,the Iowa Arts Council
iowa arts council,the Iowa Arts Council
jerome foundation,the Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
minneapolis foundation,the Minneapolis Foundation
cray research foundation,"Cray
  Research Foundation"
minneapolis foundation,"the Minneapolis Founda-
  tion"
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
"national federation of state poetry societies, seven buffaloes, sinister wisdom,","the National Federation of State Poetry Societies, Seven Buffaloes, Sinister Wisdom,"
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-
  "
cray research foundation,Cray Research Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
star tribune/cowles media company,"the Star Tribune/Cowles
  Media Company"
tennant company foundation,the Tennant Company Foundation
valspar corporation,the Valspar Corporation
national endowment for arts,National Endowment for the Arts
jerome foundation,the Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-
  "
cray research foundation,Cray Research Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
new york botanical garden for ir,"the New York Botanical Garden for their
  "
jerome foundation,the Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
beverly j. and john a. rollwagen fund of minneapolis foundation,the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation
cray research foundation,Cray Research Foundation
minneapolis foundation,the Minneapolis Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
star tribune/cowles media company,the Star Tribune/Cowles Media
tennant company foundation,the Tennant Company Foundation
valspar corporation,the Valspar Corporation
national endowment for arts,Endowment for the Arts
minnesota nonprofits assistance fund,the Minnesota Non-Profts Assistance Fund
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,"the Min-
  nesota Legislature"
first bank system foundation,the First Bank System Foundation
national endowment for arts,the National Endowment for the Arts
star tribune/cowles media company,the Star Tribune/Cowles Media
tennant company foundation,the Tennant Company Foundation
united arts fund,the United Arts Fund
minnesota nonprofits assistance fund,"the Minnesota Non-Profits Assistance Fund for its invaluable
  support.
  New Rivers Press books are distributed by"
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,the Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota Legislature
north dakota council on arts,"the North Dakota Coun-
  "
south dakota arts council,the South Dakota Arts Council
bush foundation,the Bush Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Min-
  nesota State Arts Board"
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Company
united arts,United Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota Legislature
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,South Dakota Arts Council
united arts,UNITED ARTS
bush foundation,the Bush Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Minnesota State
  Arts Board"
minnesota state legislature,the Minnesota Legislature
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,the Jerome Foundation
minnesota state legislature,the Minnesota Legislature
south dakota arts council,the South Dakota Arts Council
bush foundation,the Bush Foundation
general mills foundation,"the General
  Mills Foundation"
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota Legislature
star tribune/cowles media company,Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
jerome foundation,the Jerome Foundation
metropolitan regional arts council,Metropolitan Regional Arts Council
national endowment for arts,the National Endowment for the Arts
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,South Dakota Arts Council
bush foundation,Bush Foundation
"general mills, liberty state bank","General Mills, Liberty State Bank"
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Min-
  nesota State Arts Board"
minnesota state legislature,the Minnesota Legislature
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
united arts,the United Arts
minnesota nonprofits assistance fund,"the Minnesota Non-Profits Assistance Fund for its invaluable support.
  NATIONAL
  ENDOWMENT
  FOR THE
  ARTS"
united arts,UNITED ARTS
jerome foundation,the Jerome Foundation
metropolitan regional arts,the Metropolitan Regional Arts
minnesota state legislature,the Minnesota Legislature
national endowment for arts,Endowment for the Arts
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,the South Dakota Arts Council
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
beim foundation,the Beim Foundation
bush foundation,Bush Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,"the Min-
  nesota Legislature"
star tribune/cowles media company,the Star Tribune/Cowles Media Company
united arts,United Arts
jerome foundation,the Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota Legislature
national endowment for arts,"the National Endowment
  for the Arts"
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,the South Dakota Arts
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
james r. thorpe foundation,the James R. Thorpe Foundation
beim foundation,the Beim Foundation
general mills foundation,General Mills Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
united arts,UNITED ARTS
target,Target
dayton hudson foun,"the Dayton Hudson Foun-
  "
jerome foundation,the Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota Legislature
national endowment for arts,"the National Endowment for the
  Arts"
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,the South Dakota Arts Council
james r. thorpe foundation,the James R. Thorpe Foundation
elmer anderson foundation,the Elmer Anderson Foundation
general mills foundation,General Mills Foundation
liberty state bank,Liberty State Bank
mcknight foundation,"the McKnight Foun-
  "
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,"the Min-
  nesota Legislature"
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,"the Tennant
  Company Foundation"
united arts,United Arts
united arts,UNITED ARTS
jerome foundation,"the Jerome
  Foundation"
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota Legislature
council on arts,Council on the Arts
south dakota arts council,the South Dakota Arts Council
target,Target
dayton hudson foundation,"the Dayton Hudson
  Foundation"
beim foundation,the Beim Foundation
liberty state bank,Liberty State Bank
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
star tribune/cowles media company,"the Star
  Tribune/Cowles Media Company"
tennant company foundation,the Tennant Company
united arts,United Arts
minneapolis tribune travel magazine,the Minneapolis Tribune Travel Magazine
beim foundation,the Beim Foundation
"general mills, liberty state bank","General Mills, Liberty
  State Bank"
mcknight foundation,the McKnight Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
star tribune/cowles media company,"the Star Tribune/Cowles
  Media Company"
tennant company foundation,the Tennant Company Foundation
united arts council,the United Arts Council
minnesota nonprofits assistance fund,"the Minnesota Non-Profits Assistance Fund for its
  "
jerome foundation,the Jerome Foundation
south dakota arts council,"the South Dakota
  Arts Council"
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
r. thorpe foundation,R. Thorpe Foundation
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,"the Star
  Tribune/Cowles Media Company"
tennant company foundation,"the Tennant
  Company Foundation"
united arts,United Arts
jerome foundation,the Jerome Foundation
minnesota state legislature,the Minnesota Legislature
national endowment for arts,Endowment for the Arts
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,South Dakota Arts Council
target,Target
dayton hudson foundation,Dayton Hudson Foundation
beim foundation,the Beim Foundation
bush foundation,Bush Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota Legislature
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
united arts,UNITED ARTS
jerome foundation,the Jerome Foundation
metropolitan regional arts,the Metropolitan Regional Arts
minnesota state legislature,the Minnesota Legislature
national endowment for arts,Endowment for the Arts
north dakota council on arts,the North Dakota Council on the Arts
target,Target
dayton hudson foundation,"the Dayton
  Hudson Foundation"
beim foundation,the Beim Foundation
bush foundation,Bush Foundation
general mills foundation,General Mills Foun-
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Minnesota State
  Arts Board"
minnesota state legislature,the Minnesota Legislature
star tribune/cowles media company,"the Star
  Tribune/Cowles Media Company"
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
lerome foundation,the lerome Foundation
council on arts,Council on the Arts
south dakota arts council,the South Dakota Arts Council
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
beim foundation,the Beim Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,"the Star
  Tribune/Cowles Media Company"
tennant company foundation,the Tennant Company Foundation
united arts,United Arts
minnesota st. gang,The Minnesota St. Gang
jerome foundation,"the
  Jerome Foundation"
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,"the South Dakota
  Arts Council"
target,Target
dayton hudson foundation,"the Dayton Hudson
  Foundation"
beim foundation,the Beim Foundation
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,"the
  Tennant Company Foundation"
united arts,United Arts
ir tradition,Their Tradition
jerome foundation,the Jerome Foundation
north dakota council on arts,the North Dakota Council on the Arts
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,McKnight Foundation
star tribune foundation,the Star Tribune Foundation
bush foundation,the Bush Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
national endowment for arts,"the National Endowment for
  the Arts"
beim foundation,the Beim Foundation
mcknight foundation,the McKnight Foundation
star tribune foundation,"the Star Tribune
  Foundation"
jerome foundation,the Jerome Foundation
minnesota state arts board,the Minnesota State Arts
minnesota state legislature,the Minnesota Legislature
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
beim foundation,the Beim Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,the Star Tribune /Cowles Media Company
beim foundation,the Beim Foundation
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune foundation,the Star Tribune Foundation
jerome foundation,"the Jerome
  Foundation"
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
james r. thorpe foundation,James R. Thorpe Foundation
beim foundation,the Beim Foundation
general mills foundation,the General Mills Foundation
liberty state bank,Liberty State Bank
mcknight foundation,McKnight Foundation
star tribune/cowles media company,the Star Tribune/Cowles Media
jerome foundation,the Jerome Foundation
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
james r. thorpe foundation,James R. Thorpe Foundation
beim foundation,the Beim Foundation
general mills foundation,the General Mills Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,the Star Tribune/Cowles Media
jerome foundation,the Jerome Foundation
minnesota state arts board,the Minnesota State Arts
minnesota state legislature,the Minnesota Legislature
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
beim foundation,the Beim Foundation
general mills foundation,the General Mills Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,"the Star Tribune / Cowles
  Media Company"
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
jerome foundation,the Jerome Foundation
north dakota council on arts,the North Dakota Council on the Arts
dayton hudson foundation,"Dayton
  Hudson Foundation"
target,Target
general mills foundation,the General Mills Foundation
mcknight foundation,"the McKnight
  Foundation"
star tribune foundation,the Star Tribune Foundation
jerome foundation,the Jerome Foundation
target,Target
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,"the General
  Mills Foundation"
mcknight foundation,the McKnight Foundation
star tribune foundation,Star Tribune Foundation
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,"the Star
  Tribune/Cowles Media Company"
marie alexander poetry series,The Marie Alexander Poetry Series
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,"the Minnesota
  Legislature"
national endowment for arts,the National Endowment for the Arts
mcknight foundation,the McKnight Foundation
star tribune foundation,the Star Tribune Foundation
jerome foundation,the Jerome Foundation
north dakota council on arts,"the North Dakota Council
  on the Arts"
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune foundation,the Star Tribune Foundation
"jerome foundation and dayton's, mervyn's california","the Jerome Foundation and Dayton's,
  Mervyn's California"
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,"the Minnesota State
  Legislature"
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune foundation,the Star Tribune Foundation
jerome foundation,the Jerome Foundation
council on arts,Council on the Arts
dayton hudson foundation,Dayton Hudson Foundation
target,Target
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune foundation,the Star Tribune Foundation
jerome foundation,the Jerome Foundation
north dakota council on arts,the North Dakota Council on the Arts
target,Target
dayton hudson foundation,"the Dayton
  Hudson Foundation"
mcknight foundation,the McKnight Foundation
star tribune foundation,"the Star Tribune
  Foundation"
jerome foundation,the Jerome Foundation
target,Target
target,Target
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,"the McKnight
  Foundation"
star tribune foundation,the Star Tribune Foundation
arts development fund of united arts council,the Arts Development Fund
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of the Minneapolis
  Foundation"
cray research foundation,Cray Research Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
marie alexander poetry series,The Marie Alexander Poetry Series
minnesota state arts board,the Minnesota State Arts Board
national endowment for arts,the National Endowment for the Arts
mcknight foundation,"the McKnight
  Foundation"
jerome foundation,the Jerome Foundation
target,Target
target,Target
minnesota state arts board,"the Minnesota State Arts
  "
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,"the McKnight
  Foundation"
star tribune foundation,the Star Tribune Foundation
jerome foundation,"the
  Jerome Foundation"
target foundation,the Target Foundation
target,Target
minnesota state arts board,"the Minnesota State Arts
  "
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,"the McKnight
  Foundation"
star tribune foundation,the Star Tribune Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,McKnight Foundation
star tribune foundation,the Star Tribune Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,"the Minnesota State
  Legislature"
national endowment for arts,the National Endowment for the Arts
mcknight foundation,the McKnight Foundation
minnesota state arts board,"the Minnesota State Arts
  "
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,"the McKnight
  Foundation"
star tribune foundation,the Star Tribune Foundation
general mills foundation,the General Mills Foundation
mcknight foundation,the McKnight Foundation
star tribune foundation,the Star Tribune Foundation
beim foundation,the Beim Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,"the Tennant
  Company Foundation"
united arts,United Arts
national endowment for arts,"the National Endowment for the
  Arts"
first bank system foundation,"the First Bank System
  Foundation"
national endowment for arts,"the
  National Endowment for the Arts"
united arts council,the United Arts Council
mcknight foundation,the McKnight Foundation
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
tennant company foundation,Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
minnesota nonprofits assistance fund,"the Minnesota Non-Profits Assistance Fund for its in-
  "
"college english (""talking back","College English (""Talking Back"
mcknight foundation,the McKnight Foundation
jerome foundation,"the Jerome
  Foundation"
first bank system foundation,the First Bank System Foundation
united arts council,the United Arts Council
mcknight foundation,the McKnight Foundation
national endowment for arts,"the National Endowment for
  the Arts"
jerome foundation,the Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
beverly j. and john a. rollwagen fund of minneapolis foundation,the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation
cray research foundation,Cray Research Foundation
minneapolis foundation,"the Minneapolis Founda-
  tion"
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
star tribune/cowles media company,"the Star Tribune/Cowles
  Media Company"
tennant company foundation,the Tennant Company Foundation
valspar corporation,the Valspar Corporation
national endowment for arts,the National Endowment for the Arts
minnesota nonprofits assistance fund,"the Minnesota Non-Profits
  Assistance Fund for its invaluable support.
  New Rivers Press books are distributed by
  The Talman Company
  "
fundamentalist argues against darwin”,The Fundamentalist Argues Against Darwin”
ernest hemingway's goat.,Ernest Hemingway's Goat.
jerome foundation,"the Jerome
  Foundation"
first bank system foundation,the First Bank System Foundation
united arts council,the United Arts Council
mcknight foundation,the McKnight Foundation
ment for arts,ment for the Arts
regional arts council,Regional Arts Council
first bank system foundation,the First Bank System Foundation
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
west side ymca in new york city,The West Side YMCA in New York City
first bank system foundation,the First Bank System Foundation
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
mcknight foundation,"the McKnight
  Foundation"
creative arts,the Creative Arts
m dr. kristi lane,them Dr. Kristi Lane
jerome foundation,"the Jerome Founda-
  tion"
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,"the Min-
  nesota Legislature"
arts development fund of united arts council,the Arts Development Fund
united arts council,the United Arts Council
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
star tribune/cowles media company,Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,Endowment for the Arts
minnesota nonprofits assistance fund,"the Minnesota Non-Profits Assistance
  Fund"
jerome foundation,the Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-
  "
cray research foundation,Cray Research Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
jerome foundation,the Jerome Foundation
arts development fund of united arts council,the Arts Development Fund
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-
  "
cray research foundation,Cray Research Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
jerome foundation,The Jerome Foundation
northwest area foundation,the Northwest Area Foundation
united arts,United Arts
first bank system foundation,"the First Bank System
  Foundation"
national endowment for arts,the National Endowment for the Arts
"national federation of state poetry societies, seven buffaloes, sinister wisdom,","the National Federation of State Poetry Societies, Seven Buffaloes, Sinister Wisdom,"
arts development fund of united arts council,the Arts Development Fund
united arts council,United Arts Council
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-
  "
cray research foundation,Cray Research Foundation
first bank system foundation,the First Bank System Foundation
liberty state bank,Liberty State Bank
star tribune/cowles media company,"the Star Tribune/Cowles
  Media Company"
tennant company foundation,the Tennant Company Foundation
valspar corporation,the Valspar Corporation
national endowment for arts,National Endowment for the Arts
minneapolis tribune travel magazine,the Minneapolis Tribune Travel Magazine
arts development fund of united arts council,the Arts Development Fund
cray research foundation,Cray Research
first bank system foundation,the First Bank System Foundation
john and beverly rollwagen fund of minneapolis foundation,"the John and Beverly Rollwagen
  Fund of the Minneapolis Foundation"
liberty state bank,Liberty State Bank
cowles media company,Cowles Media Company
tennant company foundation,the Tennant Company Foundation
national endowment for arts,the National Endowment for the Arts
minnesota nonprofits assistance fund,"the Minnesota Non-
  Profits Assistance Fund"
minnesota state arts board,"the Minnesota State Arts
  "
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
general mills foundation,the General Mills Foundation
mcknight foundation,"the McKnight
  Foundation"
star tribune foundation,the Star Tribune Foundation
minnesota state fair minnesota historical society press,the Minnesota State Fair Minnesota Historical Society Press
american state fair st paul,The American State Fair St Paul
st. paul pioneer,the St. Paul Pioneer
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,Endowment for the Arts
mcknight foundation,the McKnight Foundation
target foundation,the Target Foundation
buuck family foundation,the Buuck Family Foundation
patrick and aimee butler family foundation,"the Patrick and
 Aimee Butler Family Foundation"
allan and cinda kornblum,Allan and Cinda Kornblum
lenfesty family foundation,the Lenfesty Family Foundation
rebecca rand,Rebecca Rand
r. thorpe foundation,R. Thorpe Foundation
woessner freeman family foundation,Woessner Freeman Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
national endowment for arts,Endowment for the Arts
target,TARGET
bush foundation,the Bush Foundation
jerome foundation,the Jerome Foundation
mcknight foundation,the McKnight Foundation
target,Target
around town literary media guides,Around Town Literary Media Guides
e. thomas binger and rebecca rand fund of minneapolis foundation,the E. Thomas Binger and Rebecca Rand Fund of the Minneapolis Foundation
patrick and aimee butler family foundation,the Patrick and Aimee Butler Family Foundation
buuck family foundation,the Buuck Family Foundation
ruth and bruce dayton,Ruth and Bruce Dayton
stephen and isabel keating,Stephen and Isabel Keating
lenfesty family foundation,the Lenfestey Family Foundation
ethan j. litman;,Ethan J. Litman;
mary mcdermid,Mary McDermid
rehael fund of minneapolis foundation,the Rehael Fund of the Minneapolis Foundation
"deborah reynolds; schwegman, lundberg & woessner, p.a.","Deborah Reynolds; Schwegman, Lundberg & Woessner, p.a."
woessner freeman family foundation,the Woessner Freeman Family Foundation
target,TARGET
national endowment for arts,Endowment for the Arts
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
athwin foundation,the Athwin Foundation
buuck family foundation,Buuck Family Foundation
bush foundation,the Bush Foundation
mcknight foundation,the McKnight Foundation
st. paul companies,St. Paul Companies
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,"James R. Thorpe
 Foundation"
wells fargo foundation minnesota,Wells Fargo Foundation Minnesota
west group,West Group
woessner freeman family foundation,"the Woessner
 Freeman Foundation"
national endowment for arts,Endowment for the Arts
national endowment for arts,the National Endowment for the Arts
beim foundation,the Beim Foundation
buuck family foundation,Buuck Family Foundation
butler family foundation,the Butler Family Foundation
lerner family foundation,Lerner Family Foundation
mcknight foundation,the McKnight Foundation
st. paul companies,St. Paul Companies
target,Target
target foundation,the Target Foundation
walker foundation,the Walker Foundation
wells fargo foundation minnesota,"Wells Fargo Foundation
 Minnesota"
west group,West Group
woessner freeman family foundation,the Woessner Freeman Foundation
national endowment for arts,Endowment for the Arts
minnesota state arts board,Minnesota State Arts Board
