authority_name,aka,count
national endowment for arts wells fargo a great nation desetves great art minnesota state arts board,['NATIONAL ENDOWMENT FOR THE ARTS WELLS FARGO A great nation desetves great art MINNESOTA STATE ARTS BOARD'],1
"national federation of state poetry societies, seven buffaloes, sinister wisdom,","['the National Federation of State Poetry Societies, Seven Buffaloes, Sinister Wisdom,', 'the National Federation of State Poetry Societies, Seven Buffaloes, Sinister Wisdom,']",2
national poetry foundation,"['the National Poetry Foundation', 'the National Poetry Foundation']",2
national science foundation artists,['the National Science Foundation Artists'],1
national writer's voice of ymca of usa in 1986.,"[""the National Writer's Voice\nof the YMCA of the USA in 1986.""]",1
navarre corporation,"['Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corpora-', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Cor-', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'the Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'Navarre\nCorporation', 'Navarre Corporation', 'Navarre Cor-', 'Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'Navarre Corporation', 'Navarre Corporation', 'the Navarre Corporation', 'the Navarre Corporation', 'Navarre Corporation']",50
new criterion,"['The New Criterion', 'The New Criterion', 'The New Criterion', 'the New Criterion', 'The New Criterion']",5
new jersey poetry jour nal,['The New Jersey Poetry Jour-\nnal'],1
new york botanical garden for ir,['the New York Botanical Garden for their'],1
new york city art world and corporate support of arts,['the New York City art world and corporate support of the arts'],1
new york community trust,['New York Community Trust'],1
new york council on arts,"['the New York Council on the Arts', 'the New York Council on the Arts']",2
new york endnowment for arts,['the New York Ednow- ment for the Arts'],1
new york foundation for arts,"['the New York Foundation for the Arts', 'New York Foundation for the Arts', 'New York Foundation for the Arts', 'New York Foundation for the Arts']",4
"new york quar terly, pacific search, raven","['The New York Quar- terly, Pacific Search, Raven']",1
"new york quarterly, ikon","['The New York Quarterly, IKON']",1
"new york school, beat literary movement, and experimental strands of new american poetry.","['the New York School, the\nBeat Literary Movement, and the experimental strands of the New American\nPoetry.']",1
new york state arts council,['THE NEW YORK STATE ARTS COUNCIL'],1
new york state council on arts,"['the New York State Council on the Arts', 'The New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the new york state council on the arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the new york state council on the arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council on the Arts', 'the New York State Council of the Arts for its support']",24
new york state foundation for arts,"['New York State Foundation for the Arts', 'New York State Foundation for the Arts']",2
norast journal,['Northeast Journal'],1
north dakota council on arts,"['the North Dakota Council on the Arts', 'The North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'The North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Coun-', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council on the Arts', 'the North Dakota Council\non the Arts', 'the North Dakota Council on the Arts']",24
northwest area foundation,"['the Northwest Area Foundation', 'the North- west Area Foundation', 'the North- west Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Founda- tion', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the North- west Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Founda- tion', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'the North- west Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foun-', 'Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the North- west Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foun-', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the North-\nwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the North-\nwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Founda-\ntion', 'Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest\nArea Foundation', 'Northwest Area Foundation', 'Northwest\nArea Foundation', 'the Northwest\nArea Foundation', 'the Northwest\nArea Foundation', 'the Northwest Area Foundation', 'the Northwest Area Founda-\ntion', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area Foundation', 'the Northwest\nArea Foundation', 'Northwest Area\nFoundation', 'Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'the North-\nwest Area Foundation', 'the Northwest Area Foundation', 'the Northwest Area Foundation', 'Northwest Area\nFoundation', 'the Northwest Area Foundation']",96
norwest bank minnesota,"['Norwest Bank Minnesota', 'Norwest Bank Minnesota', 'Norwest Bank Minnesota', 'Norwest Bank Minnesota', 'Norwest Bank Minnesota', 'Norwest Bank Minnesota']",6
norwest foundation,"['Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation', 'Norwest Foundation']",28
norwest investment management and trust,"['Norwest Investment Management', 'Norwest Investment Management and Trust', 'Norwest Investment Management and Trust', 'Norwest Investment Management and Trust', 'Norwest Investment Management and Trust', 'Norwest Investment Management and Trust']",6
ojibway sacred scrolls used throughout this volume are from george a. flaskerd,['The Ojibway Sacred Scrolls used throughout this volume are from the George A.\nFlaskerd'],1
oswald family foundation,"['Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family\nFoundation', 'Oswald Family Foundation', 'Oswald Family\nFoundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family\nFoundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family\nFoundation', 'Oswald Family Foundation', 'Oswald Family Foundation', 'Oswald Family\nFoundation', 'Oswald Family Foundation']",29
outagamie foundation,"['Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'the Outagamie Foundation', 'Outagamie Charitable\nFoundation', 'Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'Outagamie Charitable\nFoundation', 'Outagamie Charitable Foun-', 'Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'Outagamie Charitable Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'Outagamie Foundation', 'Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'the Outagamie Foundation', 'Outagamie Foundation', 'Outagamie Foundation']",31
pacific foundation,"['the Pacific Foundation', 'the Pacific Foundation', 'the Pacific Foundation', 'the Pacific Foundation', 'the Pacific Foundation', 'the Pacific\nFoundation', 'the Pacific Foundation', 'the Pacific Foundation', 'the Pacific Foundation.', 'the Pacific Foundation', 'the Pacific Foundation', 'the Pacific Foundation']",12
pacificfiction.,['the Pacific-Fiction.'],1
"pen center usa west's freedomtowrite fund. coffee house press books are available to trade through our primary distributor, consortium book sales & distribution","[""the PEN Center USA West's Freedom-to-Write Fund. Coffee House Press books are available to the trade through our primary distributor, Consortium Book Sales & Distribution""]",1
pennsylvania council on arts,['the Pennsylvania Council on the Arts'],1
"pentair, inc.","['The Pentair Foundation', 'The Pentair Foundation', 'The Pentair Foundation', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.', 'Pentair, Inc.']",40
performance arts,['Performance Arts'],1
phillips family foundation,['Phillips Family Foundation'],1
piper family fund of minneapolis foundation,"['Piper Family Fund of the Minneapolis Foundation', 'Piper Family Fund of the Minneapolis\nFoundation', 'Piper Family Fund of the Minneapolis Foundation', 'Piper\nFamily Fund of the Minneapolis Foundation', 'Piper Family Fund', 'Piper Family Fund', 'Piper Family Fund of the Minneapolis\nFoundation', 'Piper Family Fund', 'Piper\nFamily Fund of the Minneapolis Foundation', 'Piper Family Fund of the Minneapolis\nFoundation']",10
"piper jaffray companies, inc.","['Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper\nJaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper\nJaffray Companies, Inc.', 'Piper Jaffray Companies', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies', 'Piper Jaffray Companies', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper\nJaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper\nJaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.', 'Piper Jaffray Companies, Inc.']",36
pny pamphlet series.,['the PNY Pamphlet Series.'],1
present (yale center for international and art studies,['the Present (Yale Center for International and Art Studies'],1
prudential foundation,"['Prudential Foundation', 'Prudential Foundation', 'the Prudential Foundation', 'Prudential Foundation', 'Prudential Foundation', 'Prudential Foundation', 'Prudential Foundation', 'Prudential Foundation', 'Prudential Foundation']",9
qwest foundation,"['Quest Foundation', 'Quest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation', 'Qwest Foundation']",13
ragdale foundation,"['the Ragdale Foundation', 'the Ragdale Foundation', 'the Ragdale Foundation']",3
re search foundation of state university of new york for grants which made completion of se poems possible,['the Re- search Foundation of the State University of New York for grants which made completion of these poems possible'],1
reader's legacy underwriter elly sturgis,"[""Reader's Legacy underwriter Elly Sturgis""]",1
rebecca rand,"['Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand', 'Rebecca Rand']",21
rehael fund of minneapolis foundation,['the Rehael Fund of the Minneapolis Foundation'],1
ritz foundation,"['Ritz', 'Ritz', 'Ritz', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz\nFoundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'The Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Founda-', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz\nFoundation', 'Ritz\nFoundation', 'Ritz Foundation', 'Ritz Foundation', 'The Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation', 'Ritz Foundation']",45
rockefeller foundation,"['the Rockefeller Foundation', 'the Rockefeller Foundation']",2
ru wells fargo national endowment for arts lv/lv,['RU WELLS FARGO NATIONAL ENDOWMENT FOR THE ARTS lv/lv'],1
ruth and bruce dayton,['Ruth and Bruce Dayton'],1
ruth easton trust of edelstein family foundation,"['Ruth Easton Trust of the Edelstein Family Foundation', 'The Ruth Easton Trust of the Edelstein Family\nFoundation']",2
same kiss after many years' were printed in portable kisses (sea pen press,"[""The Same Kiss After Many Years' were printed in Portable Kisses (Sea Pen Press""]",1
sanders and tasha marvin,['Sanders and Tasha Marvin'],1
sara roby foundation,['the Sara Roby Foundation'],1
saturday's women anthology,"[""Saturday's Women Anthology""]",1
"scottish arts council new rivers press books are distributed by serendipity books 1790 shattuck avenue berkeley, california","['THE SCOTTISH ARTS COUNCIL NEW RIVERS PRESS books are distributed by Serendipity Books 1790 Shattuck Avenue Berkeley, California']",1
serene and christopher warren,"['Serene and Christopher Warren', 'Serene and Christopher Warren', 'Serene and Christopher Warren', 'Serene and Christopher Warren']",4
sheila c. morgan,"['Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C.\nMorgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila\nC. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan', 'Sheila C. Morgan']",19
south dakota arts council,"['the South Dakota Arts Council', 'The South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota Arts Council', 'The South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota Arts Council', 'South Dakota Arts Council', 'the South Dakota Arts Council', 'South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota Arts', 'the South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota\nArts Council', 'South Dakota Arts Council', 'the South Dakota Arts Council', 'the South Dakota\nArts Council']",21
south dakota writers' anthology,"[""The South Dakota Writers' Anthology""]",1
spring/summer 1985 issue of milkweed chronicle,['the Spring/Summer 1985 issue of Milkweed Chronicle'],1
st. benedict's college literary magazine (“carl's stone”),"[""St. Benedict's College Literary\nMagazine (“Carl's Stone”)""]",1
st. mark's poetry project,"[""The St. Mark's Poetry Project Newsletter, Salt Lick"", ""the St. Mark's Poetry Project""]",2
st. paul,['The St. Paul'],1
st. paul (minn.)—biography. i. title,['St. Paul (Minn.)—Biography. I.\nTitle'],1
"st. paul (minn.)—fiction i. murphy, nora","['St. Paul (Minn.)—Fiction I. Murphy, Nora']",1
st. paul / by nora murphy,['St. Paul / by Nora Murphy'],1
st. paul companies,"['The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'The St. Paul Companies', 'the St. Paul Companies', 'St. Paul Companies, Inc.', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'the St. Paul Compa- nies', 'The St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'the St. Paul Companies', 'the St. Paul Companies', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies, Inc.', 'St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies, Inc. Foundation', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'the St. Paul Companies', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'the St. Paul Compa- nies', 'The St. Paul Companies', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'the St. Paul Compa- nies', 'St. Paul Companies, Inc.', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies, Inc.', 'St. Paul Companies', 'The St. Paul Companies, Inc. Foundation', 'St. Paul Companies', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'the St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies, Inc.', 'the St. Paul Companies', 'St. Paul Companies', 'the St. Paul Compa- nies', 'The St. Paul Companies, Inc.', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'St. Paul Companies', 'the St. Paul Com-', 'St. Paul Companies', 'The St. Paul Companies, Inc. Foundation', 'The St. Paul Companies', 'the St. Paul Companies', 'The St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies, Inc. Foundation', 'the St. Paul Compa- nies', 'St. Paul Companies', 'St. Paul Companies', 'the St. Paul Companies', 'the St. Paul Companies', 'the St. Paul Companies', 'St. Paul Companies Foundation', 'St. Paul Companies', 'the St. Paul Companies', 'The St. Paul Companies Foundation', 'St. Paul Companies', 'St. Paul Companies', 'The St.\nPaul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul\nCompanies', 'St. Paul Companies', 'St. Paul\nCompanies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Com-', 'St. Paul\nCompanies', 'The St. Paul Companies', 'St. Paul Companies', 'The St. Paul Companies Foundation', 'The St. Paul Companies Foundation', 'The St. Paul Com-', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'the St.\nPaul Companies', 'St. Paul\nCompanies, Inc.', 'St. Paul Companies, Inc.', 'The St. Paul Companies', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul\nCompanies, Inc.', 'The St. Paul\nCompanies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Com-', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'The St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies,', 'St. Paul Companies, Inc.', 'St. Paul\nCompanies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies', 'St. Paul Companies, Inc.', 'St. Paul\nCompanies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul\nCompanies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul\nCompanies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'The St. Paul\nCompanies, Inc.', 'The St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'St. Paul Companies, Inc.', 'The St. Paul Com-', 'St. Paul Companies, Inc.', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies', 'St. Paul Companies']",187
st. paul pioneer,['the St. Paul Pioneer'],1
st. paul public library cover + book design by linda s. koutsky author photos © charissa uemura cover,['the St. Paul Public Library Cover + Book Design by Linda S. Koutsky Author photos © Charissa Uemura Cover'],1
st. paul travelers foundation,"['St. Paul Travelers Foundation', 'St. Paul Travelers Foundation', 'the St. Paul Travelers Foundation', 'the St. Paul Travelers Foundation', 'the St. Paul Travelers\nFoundation', 'the St. Paul Travelers Foundation', 'St. Paul Travelers Foundation', 'St. Paul Travelers Foundation', 'the St. Paul Travelers Foundation', 'St. Paul Travelers Foundation', 'the St. Paul Travelers Foundation', 'the St. Paul Travelers Foundation']",12
star tribune foundation,"['/Star Tribune', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', '/Star Tribune Foundation', '/ Star Tribune Foundation', '/ Star Tribune Foundation', '/ Star Tribune Foundation', 'the\nStar Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', 'Star Tribune Foundation', '/ Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune\nFoundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune\nFoundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation', 'the Star Tribune Foundation']",88
